,Week,Mins,Goals,Assists,Clean_Sheets,Goals_Conceded,Yellow_Cards,Red_Cards,Saves,Bonus,PPI,BPS,Net_Transfers,Value,Points,serialID,ID,Name,Team,Position,Availabilty,Selection,EA_INDEX,Price
311,741,1419,2,3,9,12,2,0,0,0,233,197,72905,166.1,64,312,312,Sammy Ameobi,NEW,MD,100,2.4,233,4.2
312,741,149,1,0,0,2,0,0,0,0,27,38,-22150,259.8,10,313,313,Siem de Jong,NEW,MD,100,0.4,27,6.8
313,741,1158,11,1,3,16,1,0,0,20,343,326,17444,212.7,97,314,314,Papiss Demba Ciss_,NEW,FWD,100,0.9,343,5.2
314,741,0,0,0,0,0,0,0,0,0,0,0,-3687,167.6,0,315,315,Adam Campbell,NEW,FWD,100,0.1,0,4.4
315,741,211,0,1,0,8,1,0,0,0,18,35,-1778,164.7,14,316,316,Adam Armstrong,NEW,FWD,100,0.2,18,4.3
316,741,2372,7,0,3,50,0,0,0,10,385,301,53579,177.3,98,317,317,Ayoze P_rez Guti_rrez,NEW,FWD,,1.8,385,4.3
524,741,1943,1,3,5,34,2,0,0,3,285,342,-44741,272.2,71,525,525,R_my Cabella,NEW,MD,100,0.9,285,7
525,741,1209,1,2,3,26,0,0,0,1,107,88,-31825,256.5,46,526,526,Emmanuel Riviere,NEW,FWD,100,0.4,107,6.7
526,741,3251,1,8,8,60,7,1,0,14,388,617,142533,197.6,118,527,527,Daryl Janmaat,NEW,DEF,100,7.5,388,5.3
548,741,0,0,0,0,0,0,0,0,0,0,0,-3949,216,0,549,549,Facundo Ferreyra,NEW,FWD,100,0.1,0,5.6
562,741,132,1,1,1,2,1,0,0,0,25,28,-882,184,13,563,563,Rolando Aarons,NEW,MD,100,0.1,25,4.7
628,675,0,0,0,0,0,0,0,0,0,0,0,305,108,0,629,629,Remie Streete,NEW,DEF,0,0,0,4
635,663,495,0,0,0,14,0,0,10,0,42,58,20975,103.9,7,636,636,Jak Alnwick,NEW,GK,100,0.7,42,3.9
641,621,9,0,0,0,0,0,0,0,0,1,3,53,101.7,1,642,642,Haris Vuckic,NEW,MD,0,0,1,4.4
642,621,0,0,0,0,0,0,0,0,0,0,0,951,92,0,643,643,Freddie Woodman,NEW,GK,,0,0,4
689,306,0,0,0,0,0,0,0,0,0,0,0,99,40.5,0,690,690,Olivier Kemen,NEW,MD,,0,0,4.5
694,245,0,0,0,0,0,0,0,0,0,0,0,446,28,0,695,695,Jamie Sterry,NEW,DEF,,0,0,4
317,740,3183,0,0,6,65,1,0,129,7,325,548,41503,171.3,114,318,318,Robert Green,QPR,GK,100,2.5,325,4.5
318,740,0,0,0,0,0,0,0,0,0,0,0,-4890,151.5,0,319,319,Brian Murphy,QPR,GK,,1.8,0,3.9
319,740,1870,0,0,5,39,7,0,0,2,224,278,-6820,163.3,41,320,320,Richard Dunne,QPR,DEF,100,0.2,224,4.2
320,740,1407,1,0,4,31,4,0,0,0,151,211,-697,163.5,40,321,321,Clint Hill,QPR,DEF,100,0.1,151,4.2
321,740,1925,0,1,1,41,2,1,0,0,163,250,-2685,164,28,322,322,Nedum Onuoha,QPR,DEF,100,0.1,163,4.3
322,740,1722,0,0,3,39,4,0,0,0,164,214,53654,148.6,33,323,323,Suk-Young Yun,QPR,DEF,100,1.7,164,3.9
324,740,786,0,0,1,19,2,0,0,0,68,114,-8170,165.6,22,325,325,Armand Traore,QPR,MD,100,0.3,68,4.3
325,740,91,0,0,0,1,0,0,0,0,7,19,-6258,163,3,326,326,Alejandro Faurlin,QPR,MD,100,0.1,7,4.2
326,740,2504,0,0,5,51,8,0,0,0,183,290,5763,167.5,57,327,327,Karl Henry,QPR,MD,,0.2,183,4.4
327,740,2348,1,3,5,48,11,1,0,3,325,366,-13458,183.4,61,328,328,Joey Barton,QPR,MD,100,0.2,325,4.8
328,740,0,0,0,0,0,0,0,0,0,0,0,-10172,167.4,0,329,329,Jermaine Jenas,QPR,MD,,0.2,0,4.4
329,740,0,0,0,0,0,0,0,0,0,0,0,-2468,167.5,0,330,330,Gary O'Neil,QPR,MD,,0,0,4.4
330,740,886,0,1,2,22,2,0,0,0,50,59,-15430,171.7,30,331,331,Junior Hoilett,QPR,MD,,0.2,50,4.3
331,740,129,0,0,0,4,0,0,0,0,22,19,-6982,175.1,5,332,332,Shaun Wright-Phillips,QPR,MD,,0.2,22,4.5
332,740,1821,3,8,2,47,1,0,0,7,252,256,71103,179.3,89,333,333,Matthew Phillips,QPR,MD,,0.9,252,4.6
333,740,297,0,0,1,6,0,0,0,0,17,48,-7986,202.1,11,334,334,Adel Taarabt,QPR,MD,100,0.1,17,5.3
335,740,1779,3,5,7,25,4,0,0,2,198,232,-46421,160.8,74,336,336,Bobby Zamora,QPR,FWD,100,3.1,198,4.1
336,740,3065,18,8,5,65,4,1,0,22,769,567,857059,233.4,176,337,337,Charlie Austin,QPR,FWD,100,16.5,769,6.1
376,740,1210,1,0,4,20,6,0,0,0,130,139,-2917,184.6,33,377,377,Sandro Ranieri Guimaraes Cordeiro,QPR,MD,100,0.1,130,4.8
520,740,487,2,1,1,7,2,0,0,3,135,86,-18117,235.2,27,521,521,Mauro Z‡rate,QPR,FWD,100,0.4,135,6.1
528,740,990,0,0,2,21,2,0,0,1,87,187,-151493,161.8,19,529,529,Rio Ferdinand,QPR,DEF,100,2.3,87,4.2
533,740,3015,1,1,6,61,1,0,0,2,308,500,-277132,179.4,74,534,534,Steven Caulker,QPR,DEF,100,4.8,308,4.6
556,740,2131,0,2,5,43,4,0,0,11,259,404,-11824,179.3,64,557,557,Mauricio Isla,QPR,DEF,100,0.3,259,4.6
582,739,2362,6,4,5,53,4,0,0,14,338,436,20059,201.4,113,583,583,Leroy Fer,QPR,MD,100,0.7,338,5.2
584,739,1382,4,2,2,31,1,0,0,4,234,225,867,232,61,585,585,Eduardo Vargas,QPR,FWD,100,0.1,234,6.1
599,734,1120,2,1,1,28,2,0,0,4,134,187,4615,163.3,49,600,600,Niko Kranjcar,QPR,MD,100,0.1,134,4.3
606,734,237,0,0,0,8,0,0,11,0,27,31,15072,140,4,607,607,Alex McCarthy,QPR,GK,100,0.6,27,4
677,440,54,0,0,0,2,0,0,0,0,5,11,29,63,3,678,678,Michael Doughty,QPR,MD,100,0,5,4.5
679,415,225,0,0,0,7,1,0,0,0,22,26,330,51.1,1,680,680,Darnell Furlong,QPR,DEF,100,0,22,3.9
683,389,144,0,0,0,5,0,0,0,0,10,7,53,52.6,5,684,684,Reece Grego-Cox,QPR,MD,,0,10,4.3
684,389,11,0,0,0,1,0,0,0,0,1,3,121,53.6,1,685,685,Brandon Comley,QPR,MD,,0,1,4.4
691,274,0,0,0,0,0,0,0,0,0,0,0,65,36,0,692,692,Frankie Sutherland,QPR,MD,,0,0,4.5
693,274,0,0,0,0,0,0,0,0,0,0,0,116,36,0,694,694,Aaron Mitchell,QPR,MD,,0,0,4.5
709,38,6,0,0,0,1,0,0,0,0,0,1,0,4,1,710,710,Cole Kpekawa,QPR,DEF,,0,0,4
710,38,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,711,711,Michael Petrasso,QPR,MD,,0,0,4.5
83,741,3053,2,3,13,30,3,1,0,13,465,641,610075,212.2,140,84,84,Ryan Bertrand,SOU,DEF,100,20.8,465,5.8
175,741,1545,5,6,7,15,2,0,0,7,327,292,-105136,210.3,89,176,176,Shane Long,SOU,FWD,100,1.4,327,5.4
337,741,180,0,0,0,3,0,0,4,0,18,17,-367,166.9,4,338,338,Paulo Gazzaniga,SOU,GK,,0.1,18,4.3
338,741,0,0,0,0,0,0,0,0,0,0,0,-15159,180.8,0,339,339,Artur Boruc,SOU,GK,0,0.2,0,4.7
339,741,0,0,0,0,0,0,0,0,0,0,0,-14468,152,0,340,340,Jos Hooiveld,SOU,DEF,0,0.2,0,4
340,741,3330,0,1,15,32,5,0,0,16,409,757,143703,215.9,139,341,341,Jose Fonte,SOU,DEF,100,13.4,409,5.8
341,741,3146,2,2,13,32,4,0,0,15,442,664,912936,219.5,142,342,342,Nathaniel Clyne,SOU,DEF,100,32.5,442,5.9
342,741,1692,1,1,6,21,3,0,0,10,211,354,63133,162.7,73,343,343,Maya Yoshida,SOU,DEF,100,2.3,211,4.1
345,741,0,0,0,0,0,0,0,0,0,0,0,-2139,148.9,0,346,346,Jack Stephens,SOU,DEF,,0.2,0,3.9
346,741,226,0,0,0,3,0,0,0,0,28,41,1122,148.5,7,347,347,Matt Targett,SOU,DEF,100,0.4,28,3.9
348,741,2186,4,2,11,16,5,1,0,12,396,518,66387,213.5,90,349,349,Morgan Schneiderlin,SOU,MD,100,5.6,396,5.5
349,741,2637,0,2,11,24,3,0,0,2,344,497,-102633,180.4,79,350,350,Steven Davis,SOU,MD,100,1.7,344,4.7
350,741,1476,1,8,6,15,0,1,0,2,302,266,-14290,184.1,72,351,351,James Ward-Prowse,SOU,MD,100,1.1,302,4.8
352,741,2360,3,1,8,26,10,0,0,8,324,469,31082,175.9,80,353,353,Victor Wanyama,SOU,MD,100,3.9,324,4.6
353,741,9,0,0,0,0,0,0,0,0,1,3,10675,161.6,1,354,354,Lloyd Isgrove,SOU,MD,100,0.5,1,4.2
354,741,460,0,0,3,3,0,0,0,0,63,89,4,164.7,17,355,355,Harrison Reed,SOU,MD,,0.1,63,4.3
355,741,2057,4,9,9,16,2,0,0,13,499,431,45190,289.5,117,356,356,Dusan Tadic,SOU,MD,100,3.6,499,7.4
356,741,0,0,0,0,0,0,0,0,0,0,0,-1734,171,0,357,357,Billy Sharp,SOU,FWD,0,0,0,4.5
357,741,0,0,0,0,0,0,0,0,0,0,0,-3981,279.7,0,358,358,Jay Rodriguez,SOU,FWD,0,0.1,0,7.3
358,741,54,0,0,0,2,0,0,0,0,4,9,-811,181.6,5,359,359,Emmanuel Mayuka,SOU,FWD,100,0,4,4.7
359,741,0,0,0,0,0,0,0,0,0,0,0,-743,266,0,360,360,Pablo Osvaldo,SOU,FWD,0,0,0,7
360,741,0,0,0,0,0,0,0,0,0,0,0,-1196,180.1,0,361,361,Sam Gallagher,SOU,FWD,100,0,0,4.7
361,741,3281,12,6,16,31,6,0,0,14,548,413,279310,296.6,149,362,362,Graziano Pellè,SOU,FWD,100,11.5,548,7.5
555,741,0,0,0,0,0,0,0,0,0,0,0,-2806,205.4,0,556,556,Saphir Ta•der,SOU,MD,0,0,0,5.4
559,741,2623,0,0,13,21,1,0,61,0,308,442,129076,202.7,118,560,560,Fraser Forster,SOU,GK,0,6.7,308,5.3
568,741,574,0,0,4,3,1,0,0,4,86,153,1026,177.9,35,569,569,Florin Gardos,SOU,DEF,100,0.1,86,4
576,741,617,0,0,2,9,0,0,14,0,55,89,49599,170.6,22,577,577,Kelvin Davis,SOU,GK,,1.5,55,4.5
600,735,2261,1,0,9,23,3,0,0,4,345,486,71845,171.9,88,601,601,Toby Alderweireld,SOU,DEF,100,2.4,345,4.7
603,735,2132,11,4,7,25,5,0,0,15,514,431,81695,232.3,137,604,604,Sadio Man_,SOU,MD,100,2.5,514,6.3
607,735,0,0,0,0,0,0,0,0,0,0,0,228,157.5,0,608,608,Sam McQueen,SOU,MD,,0,0,4.5
614,726,4,0,0,0,0,0,0,0,0,1,3,1335,132,1,615,615,Jason McCarthy,SOU,DEF,,0.1,1,4
640,636,52,0,0,0,1,1,0,0,0,4,0,14,117.9,1,641,641,Jake Hesketh,SOU,MD,100,0,4,4.9
647,605,2,0,0,0,0,0,0,0,0,0,4,34,99,1,648,648,Dominic Gape,SOU,MD,,0,0,4.5
648,605,1,0,0,0,0,0,0,0,0,0,4,102,99,1,649,649,Ryan Seager,SOU,FWD,,0,0,4.5
654,531,788,2,0,4,8,2,0,0,3,121,114,23118,90.2,40,655,655,Eljero Elia,SOU,MD,100,0.7,121,4.3
