Name,Team,Pos,Points,Goals,Assists,Minutes,Reds,Yellows,Saves,PS,PM,Bonus,CS
Ibarbo,WAT,FWD,4,0,0,68,0,0,0,0,0,0,0
Ibrahim Afellay,STK,MID,83,2,3,2092,1,3,0,0,0,9,8
Idrissa Gueye,AVL,MID,74,0,2,3071,0,10,0,0,0,3,6
Ikechi Anya,WAT,MID,57,0,2,1686,0,0,0,0,0,0,6
Iturbe,BOU,FWD,2,0,0,57,0,0,0,0,0,0,0
Jack Butland,STK,GK,132,0,1,2790,0,0,102,0,0,14,10
Jack Colback,NEW,MID,57,1,1,2387,0,11,0,0,0,0,5
Jack Cork,SWA,MID,79,1,2,2546,0,3,0,0,0,4,8
Jack Rodwell,SUN,MID,35,1,0,1169,0,5,0,0,0,2,1
Jack Wilshere,ARS,MID,6,0,0,142,0,0,0,0,0,0,1
Jakob Haugaard,STK,GK,5,0,0,405,0,0,11,0,0,0,0
Jamaal Lascelles,NEW,DEF,44,2,0,1155,1,0,0,0,0,2,3
James Chester,WBA,DEF,27,0,0,964,0,4,0,0,0,3,3
James Collins,WHU,DEF,52,0,0,1440,1,3,0,0,0,3,6
James McArthur,CRY,MID,71,2,2,2185,0,5,0,0,0,2,5
James McCarthy,EVE,MID,73,2,2,2428,1,5,0,0,0,3,7
James McClean,WBA,MID,76,2,3,2413,1,7,0,0,0,3,5
James Milner,LIV,MID,123,5,11,2409,1,9,0,0,0,13,8
James Morrison,WBA,MID,60,3,3,1338,0,3,0,0,1,4,4
James Tomkins,WHU,DEF,70,0,0,1961,0,3,0,0,0,3,8
James Ward-Prowse,SOU,MID,80,2,4,1545,0,5,0,0,0,9,7
James Weir,MUN,MID,1,0,0,1,0,0,0,0,0,0,0
James Wilson,MUN,FWD,1,0,0,9,0,0,0,0,0,0,0
Jamie Vardy,LEI,FWD,211,24,8,3133,1,5,0,0,1,30,14
Jan Kirchhoff,SUN,MID,45,0,0,1076,0,0,0,0,0,0,5
Jan Vertonghen,TOT,DEF,87,0,0,2594,0,5,0,0,0,7,9
Jarvis,NOR,MID,42,1,1,1094,0,0,0,0,0,0,3
Jason Puncheon,CRY,MID,87,2,3,2615,0,3,0,0,0,1,9
Javier Hernández,MUN,FWD,1,0,0,24,0,0,0,0,0,0,0
Jay Fulton,SWA,MID,2,0,0,21,0,0,0,0,0,0,0
Jay Rodriguez,SOU,MID,14,0,0,351,0,1,0,0,0,0,1
