Name,Team,Pos,Points,Goals,Assists,Minutes,Reds,Yellows,Saves,PS,PM,Bonus,CS,£
Daley Blind,MUN,DEF,98,1,2,1830,0,2,0,0,0,14,9,£5.2
Damian Emiliano Martinez,ARS,GK,8,0,0,180,0,0,5,0,0,0,1,£3.9
Damien Delaney,CRY,DEF,51,0,2,2014,0,8,0,0,0,3,3,
Dan Gosling,BOU,MID,49,2,0,1366,0,6,0,0,0,2,4,£4.7
Daniel Agyei,BUR,FWD,3,0,0,25,0,0,0,0,0,0,0,£4.5
Daniel Amartey,LEI,MID,53,1,1,1673,0,3,0,0,0,3,4,£4.3
Daniel Ayala,MID,DEF,31,1,0,918,0,3,0,0,0,0,3,£4.7
Daniel Batty,HUL,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Daniel Drinkwater,LEI,MID,69,1,1,2466,0,6,0,0,0,3,8,£5.3
Daniel James,SWA,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Daniel Kemp,WHU,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Daniel Lafferty,BUR,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Daniel Sturridge,LIV,FWD,54,3,5,775,0,1,0,0,0,2,3,£9.7
Danny Ings,LIV,FWD,0,0,0,0,0,0,0,0,0,0,0,£5.4
Danny Rose,TOT,DEF,84,2,3,1530,0,8,0,0,0,6,8,£5.8
Danny Simpson,LEI,DEF,85,0,3,2988,0,12,0,0,0,4,9,£4.9
Danny Welbeck,ARS,FWD,37,2,2,748,0,0,0,0,0,0,3,£7.3
Darren Fletcher,WBA,MID,103,2,3,3231,0,0,0,0,0,2,8,£4.4
Darren Randolph,WHU,GK,69,0,0,1980,0,1,64,1,0,5,4,£4.4
Darron Gibson,SUN,MID,17,0,0,640,0,4,0,0,0,0,1,£4.3
Daryl Janmaat,WAT,DEF,50,2,1,1614,0,2,0,0,0,0,2,£4.5
David de Gea,MUN,GK,136,0,0,3150,0,2,74,0,0,5,14,£5.5
David Jones,BUR,MID,1,0,0,86,0,1,0,0,0,0,0,£5
David Luiz Moreira Marinho,CHE,DEF,132,1,1,2954,0,6,0,0,0,10,15,£6.2
David Marshall,HUL,GK,32,0,0,1440,0,0,63,0,0,0,0,£4.4
David Meyler,HUL,MID,33,1,0,962,0,2,0,0,0,0,2,£4.4
David Nugent,MID,FWD,4,0,0,43,0,0,0,0,0,0,0,£4.6
David Ospina,ARS,GK,2,0,0,143,0,0,4,0,0,0,0,£4.7
David Silva,MCI,MID,130,4,9,2760,0,6,0,0,0,12,12,£8.6
Dean Marney,BUR,MID,51,1,2,1764,0,7,0,0,0,1,5,£4.3
DeAndre Yedlin,TOT,DEF,0,0,0,0,0,0,0,0,0,0,0,£4.4
Declan Rice,WHU,MID,1,0,0,1,0,0,0,0,0,0,0,£4.5
Dejan Lovren,LIV,DEF,106,2,1,2553,0,6,0,0,0,6,11,£4.9
Demarai Gray,LEI,MID,58,1,4,1049,0,2,0,0,0,0,4,£4.8
Demetri Mitchell,MUN,DEF,8,0,0,90,0,0,0,0,0,2,1,£4
Diafra Sakho,WHU,FWD,12,1,0,181,0,0,0,0,0,2,0,£5.7
Didier Ndong,SUN,MID,67,1,1,2520,0,5,0,0,0,1,5,£4.8
Diego Da Silva Costa,CHE,FWD,196,20,11,3083,0,10,0,0,1,25,14,£10.4
Dieumerci Mbokani,HUL,FWD,27,0,2,764,0,0,0,0,0,0,3,£5.4
Dimitri Payet,WHU,MID,81,2,8,1513,0,2,0,0,0,10,4,£9
Dimitrios Konstantopoulos,MID,GK,0,0,0,0,0,0,0,0,0,0,0,£4.1
Dion Pereira,WAT,MID,2,0,0,25,0,0,0,0,0,0,0,£4.5
Dionatan do Nascimento Teixeira,STK,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Divock Origi,LIV,FWD,96,7,4,1469,0,0,0,0,0,8,7,£6
Domingos Quina,WHU,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Dominic Calvert-Lewin,EVE,FWD,17,1,0,347,0,1,0,0,0,1,0,£4.5
Dominic Solanke,CHE,FWD,0,0,0,0,0,0,0,0,0,0,0,£5
Donald Love,SUN,DEF,21,0,1,611,0,1,0,0,0,1,1,£3.8
Duncan Watmore,SUN,MID,43,0,5,1025,0,1,0,0,0,1,2,£4.7
Dusan Kuciak,HUL,GK,0,0,0,0,0,0,0,0,0,0,0,£4
Dusan Tadic,SOU,MID,108,3,7,2411,0,4,0,0,1,4,13,£6.9
Eden Hazard,CHE,MID,224,16,9,2985,0,3,0,0,1,33,17,£10.5
Edimilson Fernandes,WHU,MID,38,0,1,1002,0,4,0,0,0,0,3,
Eduardo Dos Reis Carvalho,CHE,GK,0,0,0,0,0,0,0,0,0,0,0,£4.5
Eldin Jakupovic,HUL,GK,86,0,0,1980,0,0,73,2,0,7,5,£4.1
Eliaquim Mangala,MCI,DEF,0,0,0,0,0,0,0,0,0,0,0,£5.4
Elliot Embleton,SUN,MID,0,0,0,0,0,0,0,0,0,0,0,£4.4
Elliott Moore,LEI,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Emerson Hyndman,BOU,MID,0,0,0,0,0,0,0,0,0,0,0,£4.4
Emilio Nsue Lopez,MID,DEF,10,0,0,320,0,0,0,0,0,0,1,£4.1
Emre Can,LIV,MID,104,5,2,2371,0,6,0,0,0,12,9,£4.8
Enner Valencia,EVE,FWD,54,3,3,927,0,1,0,0,0,3,2,£5.2
Eric Bailly,MUN,DEF,105,0,0,2058,0,4,0,0,0,14,13,£5.5
Eric Dier,TOT,MID,93,2,0,3043,0,6,0,0,0,4,16,£5
Erik Lamela,TOT,MID,28,1,1,595,0,1,0,0,1,4,4,£6.6
Erik Pieters,STK,DEF,103,0,2,3151,0,5,0,0,0,9,10,£4.6
Ethan Robson,SUN,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Etienne Capoue,WAT,MID,131,7,2,3204,0,5,0,0,0,14,7,£4.5
Eunan O'Kane,BOU,MID,0,0,0,0,0,0,0,0,0,0,0,£4.4
Evandro Goebel,HUL,MID,18,0,0,576,0,1,0,0,0,0,3,£4.9
Ezekiel Fryers,CRY,DEF,9,0,1,188,0,0,0,0,0,0,0,£4.5
Fabian Delph,MCI,MID,13,1,0,224,0,1,0,0,0,0,0,£4.7
Fabio Borini,SUN,FWD,49,2,0,1742,0,5,0,0,0,3,5,£5.1
Fabio Pereira da Silva,MID,DEF,58,0,0,1847,0,8,0,0,0,8,6,£4.2
Federico Fernández,SWA,DEF,63,0,1,2430,0,7,0,0,0,4,6,£4.2
Fernando Francisco Reges,MCI,MID,18,0,0,568,0,3,0,0,0,1,1,£4.7
Fernando Llorente,SWA,FWD,146,15,3,2442,0,2,0,0,0,22,5,£6.3
Fernando Luiz Rosa,MCI,MID,78,2,1,2755,2,4,0,0,0,3,10,£5.3
Filip Lesniak,TOT,MID,4,0,1,5,0,0,0,0,0,0,0,£4.5
Florin Gardos,SOU,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Fraizer Campbell,CRY,FWD,16,1,0,165,0,0,0,0,0,0,0,£4.4
Francis Coquelin,ARS,MID,52,0,1,1779,0,5,0,0,0,1,5,£4.2
Franck Tabanou,SWA,DEF,0,0,0,0,0,0,0,0,0,0,0,£4.4
Fraser Forster,SOU,GK,134,0,0,3420,0,3,76,1,0,4,14,£5
Fredrik Ulvestad,BUR,MID,0,0,0,0,0,0,0,0,0,0,0,£4.4
Gabriel Armando de Abreu,ARS,DEF,45,0,0,1517,0,6,0,0,0,2,5,£4.8
Gabriel Fernando de Jesus,MCI,FWD,67,7,4,651,0,2,0,0,0,12,3,£9.1
Gareth Barry,EVE,MID,68,2,1,2109,0,10,0,0,0,3,7,£4.3
Gareth McAuley,WBA,DEF,131,6,1,3140,0,5,0,0,0,14,7,£5
Gary Cahill,CHE,DEF,178,6,0,3296,0,5,0,0,0,15,17,£6.7
Gastón Ramírez,MID,MID,59,2,3,1539,1,8,0,0,0,6,6,£5.2
Gaël Clichy,MCI,DEF,87,1,0,2123,0,2,0,0,0,9,8,£5.2
Geoff Cameron,STK,DEF,58,0,1,1629,0,1,0,0,0,5,6,£4.2
George Boyd,BUR,MID,92,2,2,2837,0,3,0,0,0,2,9,£5.1
George Friend,MID,DEF,59,0,3,1964,0,4,0,0,0,6,4,£4.2
George Honeyman,SUN,MID,7,0,0,235,0,1,0,0,0,0,1,£4.5
Georges-Kévin Nkoudou,TOT,MID,8,0,0,54,0,0,0,0,0,0,0,£6.8
Georginio Wijnaldum,LIV,MID,149,6,9,2974,0,2,0,0,0,14,11,£7.5
Gerard Deulofeu,EVE,MID,13,0,0,460,0,1,0,0,0,0,0,£5.9
Gerhard Tremmel,SWA,GK,0,0,0,0,0,0,0,0,0,0,0,£4
Giannelli Imbula,STK,MID,24,0,1,796,0,1,0,0,0,1,2,£4.5
Giedrius Arlauskis,WAT,GK,0,0,0,0,0,0,0,0,0,0,0,£4
Glen Johnson,STK,DEF,56,0,0,1957,0,1,0,0,0,3,6,
Glenn Whelan,STK,MID,62,0,1,2276,0,5,0,0,0,3,7,£4.2
Gnegneri Yaya Touré,MCI,MID,86,5,0,1941,0,4,0,0,0,6,12,£7.2
Granit Xhaka,ARS,MID,85,2,3,2483,2,5,0,0,0,7,10,£5.2
Grant Leadbitter,MID,MID,28,1,0,710,0,1,0,0,0,1,3,£4.3
Greg Luer,HUL,FWD,0,0,0,0,0,0,0,0,0,0,0,£4.4
Greg Olley,HUL,MID,0,0,0,0,0,0,0,0,0,0,0,£4.3
Guillermo Varela,MUN,DEF,0,0,0,0,0,0,0,0,0,0,0,£4.5
Gylfi Sigurdsson,SWA,MID,181,9,13,3327,0,2,0,0,0,18,7,£7.4
Gökhan Inler,LEI,MID,0,0,0,0,0,0,0,0,0,0,0,£4.4
Gökhan Töre,WHU,MID,10,0,1,240,0,0,0,0,0,0,1,£5.3
Hal Robson-Kanu,WBA,FWD,52,3,2,701,0,3,0,0,0,3,1,£5
